"","response","Freq.R1","Types.R1","Freq.R123","Types.R123"
"7780","trasmitir",2,2,3,3
"7781","trasnacional",1,1,3,2
"7782","trastorno",NA,NA,3,3
"7783","trastos",1,1,3,2
"7784","traversa",1,1,3,1
"7785","treinta y tres",1,1,3,3
"7786","trenes",2,1,3,1
"7787","trenza",NA,NA,3,3
"7788","trescientos",NA,NA,3,2
"7789","treta",1,1,3,2
"7790","triunfa",2,1,3,1
"7791","trueno",1,1,3,1
"7792","tupido",1,1,3,3
"7793","turistica",2,1,3,2
"7794","ubicado",NA,NA,3,3
"7795","Único",2,2,3,3
"7796","unida",3,2,3,2
"7797","unidades",NA,NA,3,3
"7798","Unión",2,2,3,3
"7799","universitaria",3,1,3,1
"7800","USB",2,1,3,2
"7801","utilizo",3,1,3,1
"7802","vació",2,2,3,3
"7803","vaivén",1,1,3,3
"7804","Valentía",1,1,3,3
"7805","valentina",2,1,3,1
"7806","valido",NA,NA,3,3
"7807","válido",1,1,3,3
"7808","valijas",NA,NA,3,3
"7809","valla",3,2,3,2
"7810","Valor",NA,NA,3,3
"7811","valorable",NA,NA,3,3
"7812","vampiros",3,2,3,2
"7813","Vaso",2,1,3,2
"7814","vecindario",1,1,3,3
"7815","vegetariana",1,1,3,3
"7816","veintena",2,1,3,1
"7817","velitas",2,2,3,3
"7818","Velocidad",1,1,3,3
"7819","ven",1,1,3,3
"7820","vende",1,1,3,3
"7821","ventaja",NA,NA,3,3
"7822","ventilador",NA,NA,3,2
"7823","venus",2,1,3,1
"7824","veracidad",2,2,3,3
"7825","Verdura",3,3,3,3
"7826","veremos",NA,NA,3,3
"7827","verga",NA,NA,3,3
"7828","versión",NA,NA,3,3
"7829","vertebrado",1,1,3,3
"7830","vestirse",2,2,3,3
"7831","vete",1,1,3,2
"7832","veterano",2,2,3,3
"7833","veterinaria",1,1,3,3
"7834","vetusto",NA,NA,3,2
"7835","victimario",1,1,3,3
"7836","vid",2,1,3,1
"7837","videojuegos",NA,NA,3,3
"7838","vidriera",3,3,3,3
"7839","vidrios",NA,NA,3,3
"7840","viejas",1,1,3,3
"7841","vigor",1,1,3,3
"7842","vil",NA,NA,3,3
"7843","vincha",2,2,3,3
"7844","vintage",3,3,3,3
"7845","viñedo",1,1,3,2
"7846","violenta",2,1,3,2
"7847","violetas",2,1,3,1
"7848","vive",2,2,3,3
"7849","vivencias",NA,NA,3,3
"7850","vocablo",1,1,3,3
"7851","volado",1,1,3,3
"7852","voluminoso",1,1,3,3
"7853","Voto",1,1,3,3
"7854","vuelos",2,2,3,3
"7855","vuelto",2,1,3,2
"7856","vulnerabilidad",NA,NA,3,3
"7857","western",NA,NA,3,3
"7858","winner",3,2,3,2
"7859","y coma",2,1,3,1
"7860","y tres",3,1,3,1
"7861","yoga",2,2,3,3
"7862","yogur",1,1,3,3
"7863","yuyos",NA,NA,3,3
"7864","zafar",NA,NA,3,2
"7865","zapatilla",1,1,3,3
"7866","Zeppelin",2,1,3,1
"7867","zoodiaco",2,1,3,2
"7868",":)",NA,NA,2,2
"7869","=",NA,NA,2,2
"7870","0",1,1,2,2
"7871","100%",2,2,2,2
"7872","14",NA,NA,2,2
"7873","16",2,2,2,2
"7874","18 de julio",2,1,2,1
"7875","19",NA,NA,2,2
"7876","1950",1,1,2,2
"7877","20",2,2,2,2
"7878","21",2,2,2,2
"7879","30",2,2,2,2
"7880","50",NA,NA,2,2
"7881","50%",1,1,2,1
"7882","66",2,2,2,2
"7883","7 dias",1,1,2,1
"7884","78",1,1,2,1
"7885","a algo",1,1,2,2
"7886","a bordo",NA,NA,2,1
"7887","a cambio",2,2,2,2
"7888","A el",2,2,2,2
"7889","a ti",2,2,2,2
"7890","a un lugar",NA,NA,2,2
"7891","abandoné",2,1,2,1
"7892","abdominales",1,1,2,2
"7893","abiertp",1,1,2,2
"7894","abono",NA,NA,2,2
"7895","aborigen",NA,NA,2,2
"7896","abrelatas",NA,NA,2,1
"7897","abrigada",NA,NA,2,2
"7898","abrigos",NA,NA,2,2
"7899","abril",1,1,2,1
"7900","abrupto",NA,NA,2,2
"7901","abstracta",NA,NA,2,2
"7902","abuelas",NA,NA,2,2
"7903","aburridas",1,1,2,2
"7904","aburridos",1,1,2,2
"7905","abusivo",1,1,2,2
"7906","acabada",1,1,2,1
"7907","acabó",1,1,2,2
"7908","acantilado",1,1,2,2
"7909","accesorios",1,1,2,2
"7910","accidental",NA,NA,2,2
"7911","accidentes",NA,NA,2,2
"7912","Accion",2,2,2,2
"7913","aceitunas",NA,NA,2,2
"7914","acentuar",NA,NA,2,2
"7915","aceptando",NA,NA,2,1
"7916","achique",NA,NA,2,2
"7917","acierta",1,1,2,2
"7918","aclarado",NA,NA,2,2
"7919","aclarar",NA,NA,2,1
"7920","acme",1,1,2,1
"7921","acogido",1,1,2,2
"7922","acomodar",1,1,2,2
"7923","acompaño",NA,NA,2,2
"7924","acontecer",1,1,2,2
"7925","acortar",1,1,2,2
"7926","acotado",NA,NA,2,2
"7927","activar",1,1,2,2
"7928","actualizacion",1,1,2,2
"7929","acuarela",1,1,2,2
"7930","acuática",1,1,2,2
"7931","acuerdos",1,1,2,2
"7932","acullá",1,1,2,2
"7933","acusa",1,1,2,2
"7934","adecuada",2,2,2,2
"7935","adelantada",2,2,2,2
"7936","adelantado",NA,NA,2,2
"7937","adelantarse",1,1,2,1
"7938","aderezo",1,1,2,2
"7939","adhesivo",NA,NA,2,2
"7940","adicional",1,1,2,2
"7941","adicionar",2,1,2,1
"7942","adiciono",NA,NA,2,1
"7943","adictivo",1,1,2,2
"7944","adinerado",1,1,2,1
"7945","adivinación",NA,NA,2,2
"7946","admirable",1,1,2,2
"7947","adonde",2,1,2,1
"7948","adoquines",1,1,2,2
"7949","adquiere",2,2,2,2
"7950","adulto mayor",2,2,2,2
"7951","adversidad",1,1,2,2
"7952","adverso",1,1,2,1
"7953","aeróbico",1,1,2,1
"7954","aeronáutico",2,2,2,2
"7955","aerostático",NA,NA,2,2
"7956","afable",NA,NA,2,2
"7957","afectividad",NA,NA,2,2
"7958","afectivo",NA,NA,2,2
"7959","afin",NA,NA,2,2
"7960","afinar",1,1,2,2
"7961","aflorar",1,1,2,1
"7962","africano",1,1,2,2
"7963","agasajado",2,1,2,1
"7964","agitado",NA,NA,2,2
"7965","agitar",1,1,2,2
"7966","aglomeración",1,1,2,1
"7967","agotada",2,1,2,1
"7968","agotado",1,1,2,2
"7969","agraciado",1,1,2,2
"7970","agrandar",1,1,2,1
"7971","agregado",1,1,2,2
"7972","agresiva",NA,NA,2,2
"7973","agricola",2,2,2,2
"7974","agro",NA,NA,2,2
"7975","agu",2,2,2,2
"7976","agua jane",2,1,2,1
"7977","agua viva",2,1,2,1
"7978","aguacil",1,1,2,1
"7979","aguardo",1,1,2,1
"7980","aguas",NA,NA,2,2
"7981","aguda",1,1,2,2
"7982","agustia",NA,NA,2,2
"7983","agustin",NA,NA,2,2
"7984","Ahora",1,1,2,2
"7985","ahoracar",NA,NA,2,2
"7986","ahorrar",1,1,2,2
"7987","ahua",2,2,2,2
"7988","aire puro",1,1,2,2
"7989","ajedréz",1,1,2,1
"7990","ajena",1,1,2,2
"7991","ajil",1,1,2,2
"7992","ajuga",NA,NA,2,2
"7993","al cielo",NA,NA,2,2
"7994","al costado",NA,NA,2,2
"7995","al dedo",2,1,2,1
"7996","al pie",1,1,2,2
"7997","al ras",1,1,2,2
"7998","al tope",NA,NA,2,1
"7999","aladín",1,1,2,2
"8000","alargado",NA,NA,2,2
"8001","alarido",2,1,2,1
"8002","Alas",1,1,2,2
"8003","albahaca",1,1,2,2
"8004","albergue",NA,NA,2,2
"8005","alcaldia",2,1,2,1
"8006","Alcohol",2,2,2,2
"8007","alcohólico",1,1,2,2
"8008","alcoholizada",2,1,2,1
"8009","alcurnia",NA,NA,2,1
"8010","alegri",1,1,2,2
"8011","Alegría",2,2,2,2
"8012","alejada",1,1,2,2
"8013","alejo",1,1,2,1
"8014","aleluya",2,1,2,1
"8015","alergias",NA,NA,2,1
"8016","alga",1,1,2,2
"8017","algo malo",1,1,2,2
"8018","algun dia",NA,NA,2,2
"8019","alhaja",1,1,2,2
"8020","alianzas",1,1,2,2
"8021","alienacion",1,1,2,2
"8022","alienación",NA,NA,2,2
"8023","aliens",1,1,2,2
"8024","alineación",NA,NA,2,2
"8025","aljibe",1,1,2,2
"8026","Alma",NA,NA,2,2
"8027","almacenar",NA,NA,2,2
"8028","alquimia",1,1,2,2
"8029","alrededor",NA,NA,2,2
"8030","alrededores",1,1,2,2
"8031","altanero",1,1,2,2
"8032","altas",2,2,2,2
"8033","alterno",1,1,2,2
"8034","altillo",1,1,2,2
"8035","altisimo",NA,NA,2,2
"8036","alumbra",1,1,2,2
"8037","alzheimer",2,2,2,2
"8038","ama",NA,NA,2,2
"8039","ama de casa",NA,NA,2,2
"8040","amantes",NA,NA,2,2
"8041","amargada",1,1,2,1
"8042","amargado",1,1,2,2
"8043","amarillas",1,1,2,2
"8044","amarre",NA,NA,2,2
"8045","amarse",NA,NA,2,2
"8046","amarte",NA,NA,2,2
"8047","ambigua",1,1,2,2
"8048","ámbito",1,1,2,2
"8049","amen",1,1,2,2
"8050","ameniza",1,1,2,1
"8051","america del sur",1,1,2,2
"8052","Amigos",1,1,2,2
"8053","aminales",1,1,2,2
"8054","amisatad",2,2,2,2
"8055","Amistad",NA,NA,2,2
"8056","amistades",NA,NA,2,2
"8057","amores",1,1,2,2
"8058","amorfo",NA,NA,2,2
"8059","amos",NA,NA,2,2
"8060","anana",1,1,2,2
"8061","ancestro",1,1,2,2
"8062","ancestros",1,1,2,2
"8063","and",2,1,2,1
"8064","and roll",2,1,2,1
"8065","anden",1,1,2,2
"8066","anelido",1,1,2,1
"8067","anhelado",NA,NA,2,2
"8068","anime",NA,NA,2,2
"8069","animico",1,1,2,1
"8070","anímico",1,1,2,2
"8071","anis",1,1,2,1
"8072","anitgua",1,1,2,2
"8073","anoche",2,2,2,2
"8074","anomal",2,1,2,1
"8075","anos",2,2,2,2
"8076","anotaciones",2,2,2,2
"8077","anotador",NA,NA,2,2
"8078","antagónico",NA,NA,2,2
"8079","antártida",1,1,2,2
"8080","ante",1,1,2,2
"8081","antídoto",1,1,2,1
"8082","antigüedades",1,1,2,2
"8083","antinatural",1,1,2,2
"8084","antítesis",NA,NA,2,2
"8085","anulado",1,1,2,2
"8086","añana",1,1,2,2
"8087","añeja",1,1,2,1
"8088","año nuevo",1,1,2,2
"8089","añorar",NA,NA,2,2
"8090","añoso",2,1,2,1
"8091","apacible",1,1,2,2
"8092","aparición",NA,NA,2,1
"8093","Apartado",NA,NA,2,2
"8094","apelaciones",1,1,2,1
"8095","apelar",NA,NA,2,1
"8096","apestoso",NA,NA,2,2
"8097","apetitoso",NA,NA,2,2
"8098","aplastar",NA,NA,2,2
"8099","Aplastar",1,1,2,2
"8100","aplicaciones",NA,NA,2,2
"8101","apoderarse",1,1,2,2
"8102","apolar",2,1,2,1
"8103","aporte",1,1,2,2
"8104","apostador",1,1,2,1
"8105","apoyarse",NA,NA,2,2
"8106","Apoyo",2,2,2,2
"8107","Aprender",1,1,2,2
"8108","aprendido",NA,NA,2,2
"8109","aprendisaje",1,1,2,2
"8110","apreta",2,2,2,2
"8111","apretada",1,1,2,2
"8112","aprieto",1,1,2,1
"8113","aprobación",2,2,2,2
"8114","aproximado",NA,NA,2,2
"8115","apunta",NA,NA,2,2
"8116","apunte",2,2,2,2
"8117","apunto",NA,NA,2,2
"8118","apurarse",1,1,2,2
"8119","apurate",NA,NA,2,2
"8120","ar",2,2,2,2
"8121","arabes",NA,NA,2,1
"8122","arabia",1,1,2,2
"8123","arado",2,1,2,1
"8124","arañas",1,1,2,2
"8125","arbeja",NA,NA,2,1
"8126","arbitrario",1,1,2,2
"8127","arboleda",1,1,2,2
"8128","arcade",1,1,2,1
"8129","aridez",1,1,2,2
"8130","aristoteles",2,2,2,2
"8131","arjona",2,2,2,2
"8132","arraigo",1,1,2,2
"8133","arrastre",NA,NA,2,1
"8134","arreglado",NA,NA,2,2
"8135","arreglarse",NA,NA,2,2
"8136","arriesgado",1,1,2,2
"8137","arrogancia",1,1,2,2
"8138","arrogante",1,1,2,2
"8139","arropado",NA,NA,2,2
"8140","arrugada",2,1,2,1
"8141","artesanal",1,1,2,2
"8142","artesano",1,1,2,2
"8143","articular",NA,NA,2,2
"8144","artilugio",1,1,2,2
"8145","artropodo",2,2,2,2
"8146","arturo",NA,NA,2,2
"8147","asalariado",NA,NA,2,1
"8148","asear",NA,NA,2,2
"8149","aseguradora",2,2,2,2
"8150","ases",1,1,2,2
"8151","asesor",2,2,2,2
"8152","asfalto",NA,NA,2,2
"8153","asma",NA,NA,2,2
"8154","aso",1,1,2,2
"8155","asociados",NA,NA,2,2
"8156","asombroso",1,1,2,2
"8157","aspiración",1,1,2,2
"8158","astori",1,1,2,2
"8159","astro rey",1,1,2,1
"8160","astronautas",1,1,2,2
"8161","asustado",1,1,2,2
"8162","asustar",2,2,2,2
"8163","atacar",2,2,2,2
"8164","atada",1,1,2,2
"8165","Atención",2,2,2,2
"8166","atendido",NA,NA,2,2
"8167","atenta",1,1,2,2
"8168","ateo",1,1,2,2
"8169","atesorar",2,2,2,2
"8170","atiendo",2,1,2,1
"8171","atlético",2,2,2,2
"8172","ato",1,1,2,2
"8173","atrasado",NA,NA,2,2
"8174","atrasar",NA,NA,2,2
"8175","atraso",1,1,2,2
"8176","atrayente",NA,NA,2,2
"8177","atreverse",1,1,2,2
"8178","atributo",2,2,2,2
"8179","atril",1,1,2,2
"8180","audiovisual",1,1,2,2
"8181","augurio",1,1,2,2
"8182","aunque",1,1,2,2
"8183","aura",NA,NA,2,2
"8184","auriculares",NA,NA,2,2
"8185","aurora",1,1,2,2
"8186","auténtica",NA,NA,2,2
"8187","autenticidad",1,1,2,2
"8188","autografo",NA,NA,2,1
"8189","automoviles",1,1,2,2
"8190","avanza",1,1,2,2
"8191","avaro",NA,NA,2,1
"8192","aver",1,1,2,2
"8193","avioneta",1,1,2,2
"8194","avis",NA,NA,2,2
"8195","avisa",NA,NA,2,2
"8196","avisar",1,1,2,1
"8197","avivado",2,1,2,1
"8198","axones",1,1,2,1
"8199","ay!",NA,NA,2,2
"8200","ayudo",1,1,2,2
"8201","azules",NA,NA,2,2
"8202","baca",2,2,2,2
"8203","baco",1,1,2,2
"8204","bahia",NA,NA,2,2
"8205","bailo",NA,NA,2,2
"8206","Bajar",2,1,2,1
"8207","bajas",NA,NA,2,2
"8208","balcon",1,1,2,2
"8209","balcón",NA,NA,2,2
"8210","balneareo",1,1,2,2
"8211","bamba",1,1,2,1
"8212","bancario",1,1,2,1
"8213","bandita",1,1,2,1
"8214","baños",1,1,2,2
"8215","barajas",NA,NA,2,2
"8216","baranda",NA,NA,2,2
"8217","barbaro",2,2,2,2
"8218","barcelona",1,1,2,2
"8219","Barrer",2,1,2,1
"8220","barriga",1,1,2,2
"8221","Barro",1,1,2,2
"8222","barrote",NA,NA,2,2
"8223","basílica",NA,NA,2,2
"8224","baso",1,1,2,2
"8225","bastantes",1,1,2,1
"8226","basurero",NA,NA,2,2
"8227","batida",2,1,2,1
"8228","batido",NA,NA,2,1
"8229","Batlle",1,1,2,2
"8230","beat",1,1,2,2
"8231","beato",NA,NA,2,1
"8232","beb",1,1,2,2
"8233","Bebe",2,2,2,2
"8234","bebible",2,1,2,1
"8235","beca",1,1,2,2
"8236","bélico",1,1,2,2
"8237","beoda",NA,NA,2,1
"8238","bichar",1,1,2,2
"8239","bicicletas",NA,NA,2,2
"8240","bidón",1,1,2,2
"8241","Big Bang",NA,NA,2,2
"8242","bill",1,1,2,1
"8243","binoculares",1,1,2,2
"8244","biológica",NA,NA,2,2
"8245","biológico",1,1,2,2
"8246","bioquímica",NA,NA,2,2
"8247","birra",NA,NA,2,2
"8248","biscocho",1,1,2,2
"8249","bizcochos",NA,NA,2,2
"8250","blaco",1,1,2,2
"8251","bob",1,1,2,2
"8252","bochinche",NA,NA,2,2
"8253","bofetada",NA,NA,2,1
"8254","boletera",NA,NA,2,2
"8255","boletos",1,1,2,2
"8256","bolivia",1,1,2,2
"8257","bolsillos",2,2,2,2
"8258","boludeces",1,1,2,2
"8259","bonanza",NA,NA,2,2
"8260","Bondi",NA,NA,2,2
"8261","bordo",1,1,2,2
"8262","borra",1,1,2,1
"8263","borrachera",NA,NA,2,2
"8264","botija",1,1,2,2
"8265","bovino",1,1,2,1
"8266","box",NA,NA,2,1
"8267","brasero",1,1,2,2
"8268","brebaje",2,2,2,2
"8269","Brillante",NA,NA,2,2
"8270","brillar",1,1,2,2
"8271","brilloso",1,1,2,2
"8272","Brisa",2,2,2,2
"8273","brujas",NA,NA,2,2
"8274","buen gusto",NA,NA,2,2
"8275","buen mozo",2,1,2,1
"8276","buena suerte",1,1,2,2
"8277","buenanueva",NA,NA,2,1
"8278","buenas costumbres",1,1,2,2
"8279","bum",2,1,2,1
"8280","burguesía",NA,NA,2,2
"8281","burócrata",1,1,2,2
"8282","buscador",1,1,2,2
"8283","buscando",1,1,2,2
"8284","busco",2,2,2,2
"8285","C",NA,NA,2,2
"8286","cabalgadura",1,1,2,1
"8287","cabaña",1,1,2,2
"8288","cabe",NA,NA,2,2
"8289","cabezón",1,1,2,2
"8290","cabizbajo",1,1,2,2
"8291","Caca",1,1,2,2
"8292","cacahuate",2,1,2,1
"8293","cacareo",NA,NA,2,2
"8294","cacería",2,2,2,2
"8295","cachavacha",NA,NA,2,1
"8296","cachetada",1,1,2,2
"8297","cachete",NA,NA,2,2
"8298","cachetes",1,1,2,2
"8299","caco",1,1,2,1
"8300","cactus",2,2,2,2
"8301","cadera",2,2,2,2
"8302","cadete",NA,NA,2,2
"8303","caducidad",NA,NA,2,2
"8304","caen",1,1,2,1
"8305","cafeteria",NA,NA,2,2
"8306","cajera",NA,NA,2,2
"8307","cajita",NA,NA,2,2
"8308","calcetín",1,1,2,1
"8309","calco",2,2,2,2
"8310","calefacción",NA,NA,2,2
"8311","calefón",NA,NA,2,2
"8312","calentamiento",NA,NA,2,2
"8313","Cálido",NA,NA,2,2
"8314","calificado",NA,NA,2,2
"8315","calificativo",2,2,2,2
"8316","california",2,2,2,2
"8317","Calma",2,1,2,1
"8318","calmado",1,1,2,2
"8319","calmante",NA,NA,2,2
"8320","caloria",1,1,2,2
"8321","calvo",NA,NA,2,2
"8322","camas",NA,NA,2,2
"8323","cambalache",NA,NA,2,1
"8324","camellos",NA,NA,2,1
"8325","Camila",1,1,2,2
"8326","camilla",2,1,2,1
"8327","camine",2,2,2,2
"8328","Camino",2,2,2,2
"8329","camiones",NA,NA,2,2
"8330","camita",1,1,2,2
"8331","campeones",1,1,2,1
"8332","canasta",1,1,2,2
"8333","canina",1,1,2,2
"8334","caninos",1,1,2,1
"8335","cannabis",2,1,2,1
"8336","cansa",1,1,2,2
"8337","Cansancio",1,1,2,2
"8338","cansino",NA,NA,2,2
"8339","Cantante",NA,NA,2,2
"8340","Cantidad",NA,NA,2,2
"8341","cantidades",NA,NA,2,2
"8342","Canto",NA,NA,2,2
"8343","cañaveral",1,1,2,2
"8344","capacitación",1,1,2,2
"8345","capacitado",2,2,2,2
"8346","capacitador",NA,NA,2,1
"8347","capilar",NA,NA,2,2
"8348","capilla",1,1,2,2
"8349","Caracter",2,2,2,2
"8350","característico",NA,NA,2,2
"8351","caramba",2,2,2,2
"8352","caramelos",NA,NA,2,2
"8353","caravanas",NA,NA,2,2
"8354","carbohidrato",2,2,2,2
"8355","carbohidratos",1,1,2,1
"8356","Cárcel",1,1,2,2
"8357","cardio",1,1,2,2
"8358","cardozo",NA,NA,2,2
"8359","carece",NA,NA,2,2
"8360","careta",2,2,2,2
"8361","cargada",2,2,2,2
"8362","cargas",NA,NA,2,2
"8363","carinio",2,2,2,2
"8364","carismático",1,1,2,2
"8365","carita",1,1,2,2
"8366","carlo",1,1,2,1
"8367","carnal",2,2,2,2
"8368","carné",1,1,2,2
"8369","carnero",1,1,2,1
"8370","carniceria",NA,NA,2,2
"8371","caros",1,1,2,2
"8372","Carpa",2,2,2,2
"8373","carreton",NA,NA,2,2
"8374","carroñero",NA,NA,2,2
"8375","carteras",NA,NA,2,2
"8376","cartilago",NA,NA,2,1
"8377","cartuchera",1,1,2,2
"8378","cas",2,2,2,2
"8379","casa grande",NA,NA,2,2
"8380","casados",1,1,2,1
"8381","Casamiento",1,1,2,2
"8382","caseta",1,1,2,2
"8383","casi siempre",2,2,2,2
"8384","casillero",2,2,2,2
"8385","casona",1,1,2,2
"8386","caspa",NA,NA,2,2
"8387","castañuelas",1,1,2,2
"8388","castidad",1,1,2,2
"8389","castigar",1,1,2,2
"8390","castor",1,1,2,2
"8391","catapulta",1,1,2,2
"8392","causal",1,1,2,2
"8393","cauteloso",NA,NA,2,2
"8394","cautivo",1,1,2,2
"8395","cava",NA,NA,2,2
"8396","cazuela",2,2,2,2
"8397","ceder",1,1,2,2
"8398","celebre",1,1,2,2
"8399","celo",NA,NA,2,2
"8400","celulares",1,1,2,2
"8401","Cementerio",2,2,2,2
"8402","cenicero",NA,NA,2,2
"8403","cenicienta",1,1,2,1
"8404","centavos",NA,NA,2,2
"8405","centuria",2,2,2,2
"8406","cercanos",2,1,2,1
"8407","cerda",NA,NA,2,1
"8408","cereal",2,2,2,2
"8409","cerebelo",1,1,2,1
"8410","cerra",1,1,2,2
"8411","certezas",NA,NA,2,2
"8412","cese",2,2,2,2
"8413","chachara",2,2,2,2
"8414","chala",1,1,2,2
"8415","champaña",1,1,2,2
"8416","champignones",1,1,2,2
"8417","champions",1,1,2,2
"8418","chamuyar",1,1,2,2
"8419","chamuyo",2,2,2,2
"8420","chanchitos",2,2,2,2
"8421","chanchos",2,2,2,2
"8422","chango",1,1,2,2
"8423","chanza",1,1,2,2
"8424","charlas",1,1,2,2
"8425","Chau",1,1,2,1
"8426","chavo",1,1,2,2
"8427","chequeo",2,2,2,2
"8428","cheta",1,1,2,2
"8429","cheto",2,2,2,2
"8430","chic",1,1,2,2
"8431","Chica",2,2,2,2
"8432","Chico",1,1,2,2
"8433","chiquilín",NA,NA,2,2
"8434","chiquillo",1,1,2,2
"8435","chiquitito",NA,NA,2,2
"8436","chismes",1,1,2,2
"8437","chistido",NA,NA,2,1
"8438","chiva",1,1,2,1
"8439","chocolatada",1,1,2,1
"8440","Chocolate",2,2,2,2
"8441","chupar",NA,NA,2,2
"8442","chupe",NA,NA,2,2
"8443","chusmas",NA,NA,2,1
"8444","chusmerios",2,1,2,1
"8445","chusmo",1,1,2,2
"8446","ciclomotor",2,2,2,2
"8447","ciclos",1,1,2,2
"8448","cielorraso",NA,NA,2,2
"8449","cienpies",1,1,2,2
"8450","cierta",1,1,2,2
"8451","ciertamente",2,1,2,1
"8452","ciervo",2,2,2,2
"8453","cigüeñal",1,1,2,2
"8454","cinchar",2,2,2,2
"8455","cinema",2,2,2,2
"8456","cinismo",NA,NA,2,2
"8457","cinto",NA,NA,2,2
"8458","circundante",1,1,2,1
"8459","cirugía",1,1,2,2
"8460","citación",NA,NA,2,2
"8461","cívica",2,1,2,1
"8462","civico",1,1,2,2
"8463","Clase",2,2,2,2
"8464","clasificado",1,1,2,1
"8465","claustrofobia",NA,NA,2,1
"8466","clausura",1,1,2,2
"8467","clausurada",NA,NA,2,1
"8468","clausurado",2,1,2,1
"8469","clinton",NA,NA,2,1
"8470","clip",1,1,2,1
"8471","clorofila",NA,NA,2,2
"8472","cloruro",1,1,2,1
"8473","cm",2,2,2,2
"8474","co",NA,NA,2,1
"8475","cobijo",NA,NA,2,2
"8476","Coca cola",2,2,2,2
"8477","cocido",NA,NA,2,2
"8478","cocinero",NA,NA,2,2
"8479","coeficiente",2,2,2,2
"8480","coherente",1,1,2,2
"8481","col",1,1,2,2
"8482","colar",1,1,2,2
"8483","colchon",2,1,2,1
"8484","colecta",1,1,2,1
"8485","colesterol",NA,NA,2,2
"8486","colibrí",NA,NA,2,2
"8487","coliseo",1,1,2,2
"8488","colita",NA,NA,2,2
"8489","coloca",1,1,2,2
"8490","Colón",NA,NA,2,2
"8491","colore",NA,NA,2,2
"8492","colosal",NA,NA,2,2
"8493","columnas",1,1,2,2
"8494","combinacion",1,1,2,2
"8495","come",NA,NA,2,2
"8496","comenta",1,1,2,2
"8497","comentario",NA,NA,2,2
"8498","comerciar",NA,NA,2,2
"8499","comercios",1,1,2,2
"8500","cometer",NA,NA,2,2
"8501","comiendo",1,1,2,2
"8502","comiezo",1,1,2,2
"8503","comilón",2,2,2,2
"8504","comisión",NA,NA,2,2
"8505","cómodos",1,1,2,2
"8506","compacion",NA,NA,2,2
"8507","companía",1,1,2,2
"8508","compar",1,1,2,2
"8509","compartimento",2,2,2,2
"8510","compatibilidad",NA,NA,2,2
"8511","Complejo",2,2,2,2
"8512","completado",NA,NA,2,2
"8513","completud",NA,NA,2,2
"8514","comportamientos",NA,NA,2,2
"8515","compostura",2,2,2,2
"8516","Comprar",NA,NA,2,2
"8517","comprimido",NA,NA,2,2
"8518","compu",2,2,2,2
"8519","comulgar",1,1,2,1
"8520","comùn",2,1,2,1
"8521","comunica",2,2,2,2
"8522","comunicado",1,1,2,1
"8523","comunista",1,1,2,2
"8524","concava",1,1,2,1
"8525","concenso",NA,NA,2,2
"8526","concordancia",NA,NA,2,2
"8527","conde",1,1,2,2
"8528","condenado",1,1,2,2
"8529","condensación",NA,NA,2,1
"8530","condesa",2,1,2,1
"8531","condimentos",NA,NA,2,2
"8532","condominio",2,2,2,2
"8533","conduccion",NA,NA,2,2
"8534","conejos",1,1,2,2
"8535","conexiones",1,1,2,2
"8536","confeccion",1,1,2,2
"8537","confesar",NA,NA,2,2
"8538","confirmar",1,1,2,1
"8539","Conflicto",2,2,2,2
"8540","conflictos",1,1,2,2
"8541","congelación",NA,NA,2,1
"8542","congeniar",2,1,2,1
"8543","conglomerado",2,2,2,2
"8544","conjugacion",1,1,2,1
"8545","conjugado",NA,NA,2,2
"8546","conjuncion",2,2,2,2
"8547","Conjunto",NA,NA,2,2
"8548","conmemoracion",1,1,2,2
"8549","conmemoración",1,1,2,2
"8550","conoce",1,1,2,2
"8551","Conocer",2,2,2,2
"8552","conocida",NA,NA,2,2
"8553","consciente",1,1,2,2
"8554","consecutivo",2,2,2,2
"8555","consejero",NA,NA,2,2
"8556","consenso",1,1,2,2
"8557","considerar",1,1,2,1
"8558","consiencia",1,1,2,2
"8559","consigue",1,1,2,1
"8560","consistencia",NA,NA,2,2
"8561","consonante",1,1,2,1
"8562","constelacion",NA,NA,2,2
"8563","construcciones",NA,NA,2,2
"8564","construida",2,1,2,1
"8565","consuelo",1,1,2,2
"8566","consumado",1,1,2,1
"8567","contabilidad",NA,NA,2,2
"8568","contado",2,2,2,2
"8569","contagio",NA,NA,2,2
"8570","container",2,2,2,2
"8571","contempla",1,1,2,2
"8572","Contencion",1,1,2,2
"8573","contenedores",NA,NA,2,2
"8574","contentos",1,1,2,2
"8575","contestacion",1,1,2,1
"8576","contienda",NA,NA,2,2
"8577","continua",2,2,2,2
"8578","continúa",NA,NA,2,2
"8579","continuacion",2,1,2,1
"8580","contractura",1,1,2,2
"8581","contradictorio",2,2,2,2
"8582","controlado",2,2,2,2
"8583","controladora",1,1,2,2
"8584","convaleciente",2,1,2,1
"8585","Convenio",NA,NA,2,2
"8586","convento",NA,NA,2,2
"8587","Conversación",1,1,2,2
"8588","copado",NA,NA,2,2
"8589","copiado",1,1,2,2
"8590","copiar",1,1,2,2
"8591","copos",NA,NA,2,1
"8592","coquetería",NA,NA,2,2
"8593","coqueto",1,1,2,2
"8594","coquita",NA,NA,2,2
"8595","corage",1,1,2,2
"8596","corcel",NA,NA,2,2
