"","response","Freq","nWords","isASCII"
"3804","benjamin",1,1,1
"3805","beno",1,1,1
"3806","beñera",1,1,0
"3807","beredicto",1,1,1
"3808","berenice",1,1,1
"3809","bergoglio",1,1,1
"3810","berruga",1,1,1
"3811","besito",1,1,1
"3812","besos brazos",1,2,1
"3813","besote",1,1,1
"3814","best seller",1,2,1
"3815","bestidura",1,1,1
"3816","bethoveen",1,1,1
"3817","bethoven",1,1,1
"3818","BETTER",1,1,1
"3819","bevida",1,1,1
"3820","bhoemi",1,1,1
"3821","bi",1,1,1
"3822","bi ruedas",1,2,1
"3823","biasati",1,1,1
"3824","biava",1,1,1
"3825","bibi",1,1,1
"3826","bíblicamente",1,1,0
"3827","bibliografia",1,1,1
"3828","bibliología",1,1,0
"3829","bibliotecologo",1,1,1
"3830","bibloteca",1,1,1
"3831","bibraciones",1,1,1
"3832","bicelado",1,1,1
"3833","bícep",1,1,0
"3834","bicera",1,1,1
"3835","bichar",1,1,1
"3836","bichicome",1,1,1
"3837","bichitos",1,1,1
"3838","bicho raro",1,2,1
"3839","biciclet",1,1,1
"3840","bidet",1,1,1
"3841","biege",1,1,1
"3842","bien estar",1,2,1
"3843","bien terminado",1,2,1
"3844","bien vestida",1,2,1
"3845","bien vividos",1,2,1
"3846","bien y mal",1,3,1
"3847","bienvienido",1,1,1
"3848","bifurcacion",1,1,1
"3849","big",1,1,1
"3850","big-bang",1,1,1
"3851","bigamo",1,1,1
"3852","bigban",1,1,1
"3853","bigbang",1,1,1
"3854","bilateralidad",1,1,1
"3855","bilingüe",1,1,0
"3856","billeta",1,1,1
"3857","BIllete",1,1,1
"3858","bimbo",1,1,1
"3859","bingbang",1,1,1
"3860","binicular",1,1,1
"3861","biodiesel",1,1,1
"3862","biodivercidad",1,1,1
"3863","biologìa",1,1,0
"3864","biologico",1,1,1
"3865","bioquimica",1,1,1
"3866","bioquimico",1,1,1
"3867","bios",1,1,1
"3868","bipedo",1,1,1
"3869","bipodal",1,1,1
"3870","BIROME",1,1,1
"3871","bisciesto",1,1,1
"3872","biscocho",1,1,1
"3873","biscochos",1,1,1
"3874","bisi",1,1,1
"3875","bistro",1,1,1
"3876","bisturi",1,1,1
"3877","bivienda",1,1,1
"3878","biyuya",1,1,1
"3879","bizzarros",1,1,1
"3880","bla",1,1,1
"3881","blabla",1,1,1
"3882","blaca",1,1,1
"3883","black widow",1,2,1
"3884","blackboard",1,1,1
"3885","blacna",1,1,1
"3886","blaco",1,1,1
"3887","blacos",1,1,1
"3888","blak jack",1,2,1
"3889","blanc",1,1,1
"3890","blancha",1,1,1
"3891","Blanco, Azul y amarillo",1,5,1
"3892","blanco, llanto, vegetal",1,5,1
"3893","blanco/negro",1,1,1
"3894","blandito",1,1,1
"3895","blanes",1,1,1
"3896","blano",1,1,1
"3897","blansçco",1,1,0
"3898","blanxas",1,1,1
"3899","blaser",1,1,1
"3900","bllanco",1,1,1
"3901","blnaco",1,1,1
"3902","blnca",1,1,1
"3903","blnco",1,1,1
"3904","block",1,1,1
"3905","bluetooth",1,1,1
"3906","bnañera",1,1,0
"3907","bndera",1,1,1
"3908","bo",1,1,1
"3909","bo loco",1,2,1
"3910","bob",1,1,1
"3911","bob esponja",1,2,1
"3912","bob marley",1,2,1
"3913","bobero",1,1,1
"3914","bobo tarado navo",1,3,1
"3915","Boca Junior",1,2,1
"3916","boccias",1,1,1
"3917","bodaa",1,1,1
"3918","body",1,1,1
"3919","bofeton",1,1,1
"3920","bola de espejos",1,3,1
"3921","bolante",1,1,1
"3922","boleadoras",1,1,1
"3923","boletus",1,1,1
"3924","BOLEY",1,1,1
"3925","bolilla",1,1,1
"3926","bolivia",1,1,1
"3927","bollon",1,1,1
"3928","BOLLON",1,1,1
"3929","bolsa de basura",1,3,1
"3930","bolsa de nylon",1,3,1
"3931","bolsa de plastico",1,3,1
"3932","bolsa de valores",1,3,1
"3933","boluble",1,1,1
"3934","bom",1,1,1
"3935","bomba fuego",1,2,1
"3936","bomba guerra ruido",1,3,1
"3937","bomberoa",1,1,1
"3938","bombín",1,1,0
"3939","bombita encendida",1,2,1
"3940","bombitas de agua",1,3,1
"3941","Bonato",1,1,1
"3942","BOND",1,1,1
"3943","bondad infinita",1,2,1
"3944","bondiola",1,1,1
"3945","booking",1,1,1
"3946","boomerang",1,1,1
"3947","boón",1,1,0
"3948","boracho",1,1,1
"3949","borbollón",1,1,0
"3950","bordar con hilo",1,3,1
"3951","bordeadora",1,1,1
"3952","bordeaux",1,1,1
"3953","bordon",1,1,1
"3954","borincano",1,1,1
"3955","borombombon",1,1,1
"3956","borravino",1,1,1
"3957","bosco",1,1,1
"3958","boseto",1,1,1
"3959","BOSILLO",1,1,1
"3960","bosque obscuro",1,2,1
"3961","boss",1,1,1
"3962","botanica",1,1,1
"3963","botánici",1,1,0
"3964","botell",1,1,1
"3965","botin",1,1,1
"3966","botitas",1,1,1
"3967","botónb",1,1,0
"3968","bots",1,1,1
"3969","botto",1,1,1
"3970","bourne",1,1,1
"3971","bóveda celeste",1,2,0
"3972","bowling",1,1,1
"3973","boxer",1,1,1
"3974","boy",1,1,1
"3975","boyscouts",1,1,1
"3976","bozque",1,1,1
"3977","Bps",1,1,1
"3978","brackets",1,1,1
"3979","Bradbury",1,1,1
"3980","brazo de la ley",1,4,1
"3981","brazp",1,1,1
"3982","break",1,1,1
"3983","brebe",1,1,1
"3984","brevaaje",1,1,1
"3985","bricolage",1,1,1
"3986","brigo",1,1,1
"3987","brillitos",1,1,1
"3988","brillosa",1,1,1
"3989","brilloso",1,1,1
"3990","bris",1,1,1
"3991","brocoli",1,1,1
"3992","brou",1,1,1
"3993","bruce willis",1,2,1
"3994","brujilda",1,1,1
"3995","BRUJULA",1,1,1
"3996","bryan",1,1,1
"3997","bua",1,1,1
"3998","buarque",1,1,1
"3999","bublioteca",1,1,1
"4000","budqueda",1,1,1
"4001","bue",1,1,1
"4002","buen aspecto",1,2,1
"4003","buen clima",1,2,1
"4004","buen conductor",1,2,1
"4005","buen gesto",1,2,1
"4006","BUEN HUMOR",1,2,1
"4007","buen momento",1,2,1
"4008","buen tiempo",1,2,1
"4009","buen trato",1,2,1
"4010","buen uso",1,2,1
"4011","buen vestir",1,2,1
"4012","buena calidad",1,2,1
"4013","buena comunicacion",1,2,1
"4014","buena cosa",1,2,1
"4015","buena esperanza",1,2,1
"4016","buena gente",1,2,1
"4017","buena memoria",1,2,1
"4018","buena persona",1,2,1
"4019","buena quexa",1,2,1
"4020","buena vibra",1,2,1
"4021","buena vista",1,2,1
"4022","buenanueva",1,1,1
"4023","BUENANUEVA",1,1,1
"4024","buenas ideas",1,2,1
"4025","buenas noches",1,2,1
"4026","buenas noticias",1,2,1
"4027","buenas situaciones",1,2,1
"4028","buenas y malas",1,3,1
"4029","buenaso",1,1,1
"4030","buendía",1,1,0
"4031","bueno admirable interesante",1,3,1
"4032","bueno aires",1,2,1
"4033","bueno fantástico óptimo",1,3,0
"4034","bueno, sano, genial",1,5,1
"4035","bueno!",1,1,1
"4036","BUENOS AIRES",1,2,1
"4037","buenos modales",1,2,1
"4038","buenos momentos",1,2,1
"4039","bufanda y gorro",1,3,1
"4040","bufarrones",1,1,1
"4041","buffet",1,1,1
"4042","BUGS BUNNY",1,2,1
"4043","Buho",1,1,1
"4044","bujia",1,1,1
"4045","bujias",1,1,1
"4046","Bulevar Artigas",1,2,1
"4047","bulgar",1,1,1
"4048","Bulgar",1,1,1
"4049","bullet",1,1,1
"4050","bullets",1,1,1
"4051","bulling",1,1,1
"4052","bullying",1,1,1
"4053","Bullying",1,1,1
"4054","bultos y equipaje",1,3,1
"4055","bumblebee",1,1,1
"4056","bungee",1,1,1
"4057","bunisimo",1,1,1
"4058","bunker",1,1,1
"4059","bunquer",1,1,1
"4060","buo",1,1,1
"4061","burdegano",1,1,1
"4062","bureta",1,1,1
"4063","Burger king",1,2,1
"4064","burguer king",1,2,1
"4065","burguesia",1,1,1
"4066","BURGUESIA",1,1,1
"4067","burguez",1,1,1
"4068","burocrata",1,1,1
"4069","burocratico",1,1,1
"4070","burquesa",1,1,1
"4071","burucrata",1,1,1
"4072","busarueda",1,1,1
"4073","buscador de respuestas",1,3,1
"4074","buscaminas",1,1,1
"4075","buscar mas",1,2,1
"4076","busci",1,1,1
"4077","búsquda",1,1,0
"4078","BUSQUEDA",1,1,1
"4079","busquedad",1,1,1
"4080","butano",1,1,1
"4081","Butano",1,1,1
"4082","butia",1,1,1
"4083","BUTIA",1,1,1
"4084","buz",1,1,1
"4085","bye",1,1,1
"4086","bye bye",1,2,1
"4087","byron",1,1,1
"4088","c lase",1,2,1
"4089","C.A.",1,1,1
"4090","C.I.",1,1,1
"4091","c+omplice",1,1,1
"4092","caarcel",1,1,1
"4093","caarta",1,1,1
"4094","caatinga",1,1,1
"4095","cabaleros, redonda , cuadrada",1,6,1
"4096","CABALISTICO",1,1,1
"4097","caballeria",1,1,1
"4098","caballero antiguo",1,2,1
"4099","caballero traje gris",1,3,1
"4100","cabana",1,1,1
"4101","cabar",1,1,1
"4102","cabarro",1,1,1
"4103","cabea",1,1,1
"4104","cabeça",1,1,0
"4105","cabello rizos protección",1,3,0
"4106","cabesa",1,1,1
"4107","cabeza blanda",1,2,1
"4108","cabeza en la tierra",1,4,1
"4109","cabeza gacha",1,2,1
"4110","cabeza hueca",1,2,1
"4111","cabeza moviendose",1,2,1
"4112","cabezaso",1,1,1
"4113","cabezon",1,1,1
"4114","cabisbajo",1,1,1
"4115","cable de teléfono",1,3,0
"4116","cableoperador",1,1,1
"4117","cabo polonio",1,2,1
"4118","Cabo Polonio",1,2,1
"4119","cabron",1,1,1
"4120","cabulla",1,1,1
"4121","cacciola",1,1,1
"4122","cacharel",1,1,1
"4123","cachibaches",1,1,1
"4124","cacino",1,1,1
"4125","CACIPORRA",1,1,1
"4126","cada cual con lo suyo",1,5,1
"4127","cada loco con su tema",1,5,1
"4128","cada uno",1,2,1
"4129","cadaber",1,1,1
"4130","Cadbury",1,1,1
"4131","caddie",1,1,1
"4132","caddy",1,1,1
"4133","cadena de producción",1,3,0
"4134","cadena evolutiva",1,2,1
"4135","Cadenas de Carbono",1,3,1
"4136","cadenita",1,1,1
"4137","cadet",1,1,1
"4138","caediaca",1,1,1
"4139","cafè",1,1,0
"4140","cafeteria",1,1,1
"4141","cagador",1,1,1
"4142","cagadores",1,1,1
"4143","cagon",1,1,1
"4144","CAGON",1,1,1
"4145","cagón",1,1,0
"4146","cai en",1,2,1
"4147","CAIDA",1,1,1
"4148","caida libre",1,2,1
"4149","caidas",1,1,1
"4150","caif",1,1,1
"4151","caildo",1,1,1
"4152","caiman",1,1,1
"4153","caipirinha",1,1,1
"4154","caipiriña",1,1,0
"4155","caipiroshka",1,1,1
"4156","caja con mango",1,3,1
"4157","caja fuerte",1,2,1
"4158","caja seguridad",1,2,1
"4159","cajafuerte",1,1,1
"4160","cal o",1,2,1
"4161","calagua",1,1,1
"4162","calaguala",1,1,1
"4163","calamaro",1,1,1
"4164","calcetin",1,1,1
"4165","calcuta",1,1,1
"4166","calderin",1,1,1
"4167","caldito",1,1,1
"4168","calefacccion",1,1,1
"4169","calefación",1,1,0
"4170","calefon",1,1,1
"4171","caleinte",1,1,1
"4172","calendrio",1,1,1
"4173","calentamiento global",1,2,1
"4174","calidad vs precio",1,3,1
"4175","calides",1,1,1
"4176","càlido",1,1,0
"4177","calido dulce",1,2,1
"4178","calie",1,1,1
"4179","CALIFICACION",1,1,1
"4180","calificación profesional",1,2,0
"4181","caligrafìa",1,1,0
"4182","caliz",1,1,1
"4183","call",1,1,1
"4184","calle corrientes",1,2,1
"4185","calle numero cerca",1,3,1
"4186","calle viejo ciudad",1,3,1
"4187","calma asociada a viento",1,4,1
"4188","calma interior",1,2,1
"4189","calor corporal",1,2,1
"4190","calor hogar",1,2,1
"4191","calor mamà caricias",1,3,0
"4192","calorcita",1,1,1
"4193","calorcito",1,1,1
"4194","caloria",1,1,1
"4195","calorìmetro",1,1,0
"4196","calos",1,1,1
"4197","calpryca",1,1,1
"4198","calquemadura",1,1,1
"4199","calvette",1,1,1
"4200","calzon",1,1,1
"4201","cama elastica",1,2,1
"4202","camaleon",1,1,1
"4203","CAMARA",1,1,1
"4204","CÁMARA DE FOTOS",1,3,0
"4205","camara, luz, nutidez",1,5,1
"4206","CAMARAS",1,1,1
"4207","camarin",1,1,1
"4208","camarotd",1,1,1
"4209","cambiar de posición",1,3,0
"4210","cambiaria",1,1,1
"4211","camcha",1,1,1
"4212","camélido",1,1,0
"4213","camembert",1,1,1
"4214","camianar",1,1,1
"4215","camin",1,1,1
"4216","caminería",1,1,0
"4217","CAMINO-CRUCE-UNION-RIO-PAISAJE-",1,1,1
"4218","caminoi",1,1,1
"4219","camión y transporte",1,3,0
"4220","camios",1,1,1
"4221","camisa blanca",1,2,1
"4222","camisa cerrada",1,2,1
"4223","camiseta de fútbol moderna",1,4,0
"4224","campalilla",1,1,1
"4225","campaña polìtica",1,2,0
"4226","campañia",1,1,0
"4227","campe+on",1,1,1
"4228","campo electrico carrera votacion",1,4,1
"4229","campo solo caballo",1,3,1
"4230","camppo",1,1,1
"4231","camuno",1,1,1
"4232","canaa",1,1,1
"4233","canada",1,1,1
"4234","canadá",1,1,0
"4235","canancio",1,1,1
"4236","canario+",1,1,1
"4237","canaya",1,1,1
"4238","cancado",1,1,1
"4239","cancan",1,1,1
"4240","càncer",1,1,0
"4241","cancha de fútbol",1,3,0
"4242","cancha de ladrillo",1,3,1
"4243","cancha de tenis",1,3,1
"4244","cancha futbol jugador",1,3,1
"4245","cancha sintética de fútbol",1,4,0
"4246","canción novela historia",1,3,0
"4247","cancioncita",1,1,1
"4248","cancón",1,1,0
"4249","CANDENTEÇ",1,1,0
"4250","candombé",1,1,0
"4251","canejo",1,1,1
"4252","canhon",1,1,1
"4253","canhonez",1,1,1
"4254","canila",1,1,1
"4255","canino femenino",1,2,1
"4256","canion",1,1,1
"4257","canival",1,1,1
"4258","canívoro",1,1,0
"4259","Canopus",1,1,1
"4260","canotaje",1,1,1
"4261","canpo",1,1,1
"4262","Cansancii",1,1,1
"4263","cansansio",1,1,1
"4264","cant5idad suficiente",1,2,1
"4265","cantarola",1,1,1
"4266","cantegril",1,1,1
"4267","cantidad de tiempo",1,3,1
"4268","cantidad menor",1,2,1
"4269","cantra",1,1,1
"4270","cañ",1,1,0
"4271","caña de pescaer",1,3,0
"4272","cañeria",1,1,0
"4273","caño del arma",1,3,0
"4274","cañon de dulce de leche",1,5,0
"4275","cañor",1,1,0
"4276","capacidad de adaptación",1,3,0
"4277","capacidad de convocatoria",1,3,1
"4278","capacidad de decisión",1,3,0
"4279","capacidad de procesamiento",1,3,1
"4280","capacidad de transporte",1,3,1
"4281","capacidad diferente",1,2,1
"4282","capacitacción",1,1,0
"4283","caparazo",1,1,1
"4284","CAPARAZON",1,1,1
"4285","caparzon",1,1,1
"4286","capelina",1,1,1
"4287","capitoneado",1,1,1
"4288","capìtulo",1,1,0
"4289","capitulos",1,1,1
"4290","Capitulos",1,1,1
"4291","capsomero",1,1,1
"4292","capurro",1,1,1
"4293","capusotto",1,1,1
"4294","capz",1,1,1
"4295","cara baja",1,2,1
"4296","cara cagada",1,2,1
"4297","cara de culo",1,3,1
"4298","cara de un objeto",1,4,1
"4299","cara fria",1,2,1
"4300","caracajada",1,1,1
"4301","CARACTER",1,1,1
"4302","Cáracter",1,1,0
"4303","caracterisitca",1,1,1
"4304","caracterisitica",1,1,1
"4305","caracteristicas similares",1,2,1
"4306","caracteristico",1,1,1
"4307","caracterizacion",1,1,1
"4308","carancho",1,1,1
"4309","caras lindas",1,2,1
"4310","caráter",1,1,0
"4311","carcajada alegria entusiasmo",1,3,1
"4312","carcano",1,1,1
"4313","carcaza",1,1,1
"4314","càrcel",1,1,0
"4315","card",1,1,1
"4316","CARDIACA",1,1,1
"4317","cardigan",1,1,1
"4318","cárdigan",1,1,0
"4319","cardiovascular",1,1,1
"4320","cardúmen",1,1,0
"4321","carece de",1,2,1
"4322","cargo de conciencia",1,3,1
"4323","cargo militar",1,2,1
"4324","cargo político",1,2,0
"4325","cargoso",1,1,1
"4326","caribú",1,1,0
"4327","caricia de nalgas",1,3,1
"4328","cariculo",1,1,1
"4329","CARIE",1,1,1
"4330","carilago",1,1,1
"4331","carinho",1,1,1
"4332","carinio",1,1,1
"4333","CARINO",1,1,1
"4334","cariñ",1,1,0
"4335","cariño sito",1,2,0
"4336","carioca",1,1,1
"4337","carismatico",1,1,1
"4338","carita",1,1,1
"4339","CARITA",1,1,1
"4340","carita feliz",1,2,1
"4341","carl",1,1,1
"4342","carlitos",1,1,1
"4343","Carlo",1,1,1
"4344","CArnaval",1,1,1
"4345","carne de cañón",1,3,0
"4346","carne picada",1,2,1
"4347","carnet de conducir",1,3,1
"4348","carnivira",1,1,1
"4349","carol",1,1,1
"4350","CAROSO",1,1,1
"4351","carpediem",1,1,1
"4352","CARPINTERIA",1,1,1
"4353","CARPIR",1,1,1
"4354","carqueja",1,1,1
"4355","Carrefour",1,1,1
"4356","carrerA",1,1,1
"4357","carrera de bolsas",1,3,1
"4358","carrers",1,1,1
"4359","carretera perdida",1,2,1
"4360","carrito para nieve",1,3,1
"4361","carritos",1,1,1
"4362","carromatos en el desierto",1,4,1
"4363","Carron",1,1,1
"4364","carroniero",1,1,1
"4365","carsel",1,1,1
"4366","CART",1,1,1
"4367","cart+ilago",1,1,1
"4368","carta papel lapiz",1,3,1
"4369","carta, amigos, familia",1,5,1
"4370","cartel de farmacia conocido",1,4,1
"4371","Cartel que dice ""Fin""",1,4,1
"4372","cartin",1,1,1
"4373","CARTON",1,1,1
"4374","carucha",1,1,1
"4375","carusso",1,1,1
"4376","casa blanca",1,2,1
"4377","casa cambiaria",1,2,1
"4378","casa de al lado",1,4,1
"4379","casa de gobierno",1,3,1
"4380","casa embrujada",1,2,1
"4381","casa familiar",1,2,1
"4382","casa grande",1,2,1
"4383","casa hielo esquimal",1,3,1
"4384","casa persona apartamento",1,3,1
"4385","casa prefabricada",1,2,1
"4386","casamiebto",1,1,1
"4387","casamienta",1,1,1
"4388","casasa",1,1,1
"4389","cascarita",1,1,1
"4390","cascarrilla",1,1,1
"4391","casco antiguo",1,2,1
"4392","Cascola",1,1,1
"4393","casette",1,1,1
"4394","casi cien",1,2,1
"4395","casi excelente",1,2,1
"4396","casi nunca",1,2,1
"4397","casi seguro",1,2,1
"4398","casi siempre",1,2,1
"4399","casi todo",1,2,1
"4400","casibo",1,1,1
"4401","casita en un balneario",1,4,1
"4402","casitas",1,1,1
"4403","casmiento",1,1,1
"4404","Casmu",1,1,1
"4405","Casparín",1,1,0
"4406","caspita",1,1,1
"4407","caster",1,1,1
"4408","casualdiad",1,1,1
"4409","casualida",1,1,1
"4410","casualidas",1,1,1
"4411","casulidad",1,1,1
"4412","catacumba",1,1,1
"4413","catalan",1,1,1
"4414","catana",1,1,1
"4415","CATEGORIA",1,1,1
"4416","cateter",1,1,1
"4417","catidad",1,1,1
"4418","catlico",1,1,1
"4419","catòlica",1,1,0
"4420","católita",1,1,0
"4421","catorse",1,1,1
"4422","catupecu",1,1,1
"4423","caucasico",1,1,1
"4424","caus",1,1,1
"4425","causa de",1,2,1
"4426","causulidad",1,1,1
"4427","cavernícola",1,1,0
"4428","cazarrecompensas",1,1,1
"4429","cazco",1,1,1
"4430","cazeria",1,1,1
"4431","cçirculo",1,1,0
"4432","cciudad",1,1,1
"4433","ccoc",1,1,1
"4434","ccompromisos",1,1,1
"4435","ceasr",1,1,1
"4436","cebollín",1,1,0
"4437","cecadora",1,1,1
"4438","cedo mi turno",1,3,1
"4439","cedula de identidad",1,3,1
"4440","cedulidad",1,1,1
"4441","ceerca",1,1,1
"4442","ceerveza",1,1,1
"4443","cegera",1,1,1
"4444","Ceibo",1,1,1
"4445","cel",1,1,1
"4446","CELCIUS",1,1,1
"4447","celebration",1,1,1
"4448","celebraxion",1,1,1
"4449","celenterado",1,1,1
"4450","cello",1,1,1
"4451","celtic",1,1,1
"4452","celu",1,1,1
"4453","cèlula",1,1,0
"4454","celulitis",1,1,1
"4455","cenáculo",1,1,0
"4456","centigrados",1,1,1
"4457","centimero",1,1,1
"4458","centralizaciob",1,1,1
"4459","centralizacion",1,1,1
"4460","centrico",1,1,1
"4461","CENTRIMETRO",1,1,1
"4462","centro de..",1,2,1
"4463","centro del universo",1,3,1
"4464","centro delantero",1,2,1
"4465","CENTRO EDUCATIVO",1,2,1
"4466","centro mèdico",1,2,0
"4467","centroamerica",1,1,1
"4468","centrol",1,1,1
"4469","cepelin",1,1,1
"4470","Cepelio",1,1,1
"4471","ceraca",1,1,1
"4472","cerati",1,1,1
"4473","Cerati",1,1,1
"4474","ceratti",1,1,1
"4475","CERCANIA",1,1,1
"4476","cerdamen",1,1,1
"4477","cerdo o res",1,3,1
"4478","cerebro en formol",1,3,1
"4479","cerebro pelo boca",1,3,1
"4480","cerificado",1,1,1
"4481","cernidor",1,1,1
"4482","cerr",1,1,1
"4483","cerradura puerta",1,2,1
"4484","cerrito",1,1,1
"4485","cerro pan de azucar",1,4,1
"4486","cerrrado",1,1,1
"4487","cervicio",1,1,1
"4488","cesar vallejo",1,2,1
"4489","cesarea",1,1,1
"4490","ceta",1,1,1
"4491","cetaceo",1,1,1
"4492","cevada",1,1,1
"4493","ceveza",1,1,1
"4494","chacalon",1,1,1
"4495","chacarita",1,1,1
"4496","chacas",1,1,1
"4497","chácg",1,1,0
"4498","chachara",1,1,1
"4499","chaleco amarillo",1,2,1
"4500","chamame",1,1,1
"4501","chamamé",1,1,0
"4502","CHAMPAñA",1,1,0
"4503","champignones",1,1,1
"4504","champinion",1,1,1
"4505","champiñones",1,1,0
"4506","CHAMPION",1,1,1
"4507","champions",1,1,1
"4508","chamuyar",1,1,1
"4509","chamuyo",1,1,1
"4510","chanel",1,1,1
"4511","change",1,1,1
"4512","chanse",1,1,1
"4513","chantichy",1,1,1
"4514","chantilly",1,1,1
"4515","chaparron",1,1,1
"4516","Chaplinesco",1,1,1
"4517","Charly",1,1,1
"4518","charuto",1,1,1
"4519","chasbacano",1,1,1
"4520","chascarillo",1,1,1
"4521","chasquis",1,1,1
"4522","Chau",1,1,1
"4523","CHAU",1,1,1
"4524","chaucha",1,1,1
"4525","Chaucha",1,1,1
"4526","chávez",1,1,0
"4527","Chavo, madera, vino, basura,",1,8,1
"4528","checato",1,1,1
"4529","cheff",1,1,1
"4530","chele",1,1,1
"4531","chelo",1,1,1
"4532","cherry",1,1,1
"4533","cheta",1,1,1
"4534","cheto",1,1,1
"4535","CHETO",1,1,1
"4536","chéver",1,1,0
"4537","chevrolet",1,1,1
"4538","chicad",1,1,1
"4539","chicago bulls",1,2,1
"4540","chici",1,1,1
"4541","chiclet",1,1,1
"4542","chicloso",1,1,1
"4543","chico, pequeño, inferior",1,5,0
"4544","chicotazo",1,1,1
"4545","chiflido",1,1,1
"4546","chiken",1,1,1
"4547","child",1,1,1
"4548","chillon",1,1,1
"4549","chimichurri",1,1,1
"4550","chimo",1,1,1
"4551","chimoso",1,1,1
"4552","chinchulin",1,1,1
"4553","chip y dale",1,3,1
"4554","CHIQUILÍN",1,1,0
"4555","chiquilines",1,1,1
"4556","chiquit",1,1,1
"4557","chiquitino",1,1,1
"4558","chiquitios",1,1,1
"4559","chirizo",1,1,1
"4560","CHIZITO",1,1,1
"4561","chocoalate",1,1,1
"4562","CHOCOLAT",1,1,1
"4563","choice",1,1,1
"4564","chomba",1,1,1
"4565","chongo",1,1,1
"4566","chop",1,1,1
"4567","chopaaa",1,1,1
"4568","choripán",1,1,0
"4569","choros",1,1,1
"4570","chorrete",1,1,1
"4571","chorrizo",1,1,1
"4572","chorro de agua",1,3,1
"4573","Christiania",1,1,1
"4574","chsite",1,1,1
"4575","chupapija",1,1,1
"4576","chupasangre",1,1,1
"4577","Chupetin",1,1,1
"4578","chupi",1,1,1
"4579","chupon",1,1,1
"4580","chuquita",1,1,1
"4581","CHURASCO",1,1,1
"4582","churchil",1,1,1
"4583","churrasquera",1,1,1
"4584","chusmea",1,1,1
"4585","chusmear",1,1,1
"4586","chusmerios",1,1,1
"4587","chusta",1,1,1
"4588","chuy",1,1,1
"4589","Ci",1,1,1
"4590","cia",1,1,1
"4591","CIA",1,1,1
"4592","ciadrado",1,1,1
"4593","ciaje",1,1,1
"4594","ciática",1,1,0
"4595","ciático",1,1,0
"4596","cicatris",1,1,1
"4597","CICLICO",1,1,1
"4598","ciculo",1,1,1
"4599","cículo",1,1,0
"4600","cielo gris",1,2,1
"4601","cielo, mar, noche",1,5,1
"4602","cieloraso",1,1,1
"4603","cielorazo",1,1,1
"4604","Ciencia r",1,2,1
"4605","ciencia y religión",1,3,0
"4606","ciências",1,1,0
"4607","cienpies",1,1,1
"4608","CIENTIFICO",1,1,1
"4609","Cientificos",1,1,1
"4610","ciento cinco",1,2,1
"4611","cientoochenta",1,1,1
"4612","cierre de mes",1,3,1
"4613","cierta unidad",1,2,1
"4614","ciertas cosas",1,2,1
"4615","cif",1,1,1
"4616","cigale",1,1,1
"4617","cigarrilo",1,1,1
"4618","cilenciador",1,1,1
"4619","cilindrica",1,1,1
"4620","cilo",1,1,1
"4621","cime",1,1,1
"4622","cinecia",1,1,1
"4623","cinéfilo",1,1,0
"4624","cinemateca",1,1,1
"4625","cinematografico",1,1,1
"4626","cinetico",1,1,1
"4627","cinquista",1,1,1
"4628","cinsumo",1,1,1
"4629","cinta métrica",1,2,0
"4630","cinta para caminar",1,3,1
"4631","cinta perimetral",1,2,1
"4632","cinturon de seguridad",1,3,1
"4633","ciones",1,1,1
"4634","circonia",1,1,1
"4635","cìrculo",1,1,0
"4636","circulo pequeño",1,2,0
"4637","circulos concentricos",1,2,1
"4638","circustancia",1,1,1
"4639","cireigrafia",1,1,1
"4640","cirílico",1,1,0
"4641","ciruclo",1,1,1
"4642","cirugia",1,1,1
"4643","ciruja",1,1,1
"4644","cirujía",1,1,0
"4645","cirurgia",1,1,1
"4646","cita amorosa",1,2,1
"4647","citacion",1,1,1
"4648","citadino",1,1,1
"4649","citric",1,1,1
"4650","Citrico",1,1,1
"4651","Ciudad del Cabo",1,3,1
"4652","ciudad pequeña",1,2,0
"4653","ciudad versus campo",1,3,1
"4654","ciudada",1,1,1
"4655","Ciudadani",1,1,1
"4656","civica",1,1,1
"4657","CIVICO",1,1,1
"4658","CIVILIAZACION",1,1,1
"4659","cj.",1,1,1
"4660","clacificación",1,1,0
"4661","clacos",1,1,1
"4662","clafisicado",1,1,1
"4663","clanco",1,1,1
"4664","clara la loca",1,3,1
"4665","Clarice",1,1,1
"4666","clarin",1,1,1
"4667","clarita",1,1,1
"4668","clarito",1,1,1
"4669","clase de matematicas",1,3,1
"4670","clase social",1,2,1
"4671","Clash",1,1,1
"4672","Clasificacion",1,1,1
"4673","classicismo",1,1,1
"4674","claudio",1,1,1
"4675","claustrofofia",1,1,1
"4676","clàusula",1,1,0
"4677","Clearing",1,1,1
"4678","cliche",1,1,1
"4679","click",1,1,1
"4680","click derecho",1,2,1
"4681","clientelismo",1,1,1
"4682","clìnico",1,1,0
"4683","cliper",1,1,1
"4684","clo",1,1,1
"4685","clocet",1,1,1
"4686","clock",1,1,1
"4687","CLOSE",1,1,1
"4688","clouseau",1,1,1
"4689","clras",1,1,1
"4690","club boca juniors",1,3,1
"4691","club de estadio uno",1,4,1
"4692","club de tenis del pueblo",1,5,1
"4693","club nacional de futbol",1,4,1
"4694","cmida",1,1,1
"4695","cmienzo",1,1,1
"4696","cmoer",1,1,1
"4697","cmun",1,1,1
"4698","cnaa",1,1,1
"4699","CNASANCIO",1,1,1
"4700","co-piloto",1,1,1
